"EdgeBetweenness","interaction","name","selected","shared interaction","shared name"
"78.0","interacts with","Grota-Roweckiego / Iwaszkiewicza (interacts with) Grota-Roweckiego / Parafialna","false","interacts with","Grota-Roweckiego / Iwaszkiewicza (interacts with) Grota-Roweckiego / Parafialna"
"312.0","interacts with","Grota-Roweckiego / Parafialna (interacts with) Kutrzeby / Hubala","false","interacts with","Grota-Roweckiego / Parafialna (interacts with) Kutrzeby / Hubala"
"456.0","interacts with","Grota-Roweckiego / Parafialna (interacts with) Borowska (Uniw. Szpital Kliniczny)","false","interacts with","Grota-Roweckiego / Parafialna (interacts with) Borowska (Uniw. Szpital Kliniczny)"
"222.0","interacts with","Borowska (Uniw. Szpital Kliniczny) (interacts with) Świeradowska / Ferio Gaj","false","interacts with","Borowska (Uniw. Szpital Kliniczny) (interacts with) Świeradowska / Ferio Gaj"
"142.0","interacts with","Świeradowska / Ferio Gaj (interacts with) Świeradowska / Krynicka","false","interacts with","Świeradowska / Ferio Gaj (interacts with) Świeradowska / Krynicka"
"86.0","interacts with","Świeradowska / Ferio Gaj (interacts with) Piławska","false","interacts with","Świeradowska / Ferio Gaj (interacts with) Piławska"
"456.0","interacts with","Świeradowska / Krynicka (interacts with) Bardzka (cmentarz)","false","interacts with","Świeradowska / Krynicka (interacts with) Bardzka (cmentarz)"
"390.0","interacts with","Bardzka (cmentarz) (interacts with) Konduktorska","false","interacts with","Bardzka (cmentarz) (interacts with) Konduktorska"
"320.0","interacts with","Konduktorska (interacts with) Grapowa","false","interacts with","Konduktorska (interacts with) Grapowa"
"246.0","interacts with","Grapowa (interacts with) Jagodzińska / Buforowa","false","interacts with","Grapowa (interacts with) Jagodzińska / Buforowa"
"86.0","interacts with","Jagodzińska / Buforowa (interacts with) Kopycińskiego / Drabika","false","interacts with","Jagodzińska / Buforowa (interacts with) Kopycińskiego / Drabika"
"966.0","interacts with","al. Armii Krajowej / Borowska (interacts with) Ślężna / Aleja Wiśniowa","false","interacts with","al. Armii Krajowej / Borowska (interacts with) Ślężna / Aleja Wiśniowa"
"488.0","interacts with","al. Armii Krajowej / Borowska (interacts with) Borowska (Uniw. Szpital Kliniczny)","false","interacts with","al. Armii Krajowej / Borowska (interacts with) Borowska (Uniw. Szpital Kliniczny)"
"584.0","interacts with","al. Armii Krajowej / Borowska (interacts with) al. Armii Krajowej / Bardzka","false","interacts with","al. Armii Krajowej / Borowska (interacts with) al. Armii Krajowej / Bardzka"
"408.0","interacts with","al. Armii Krajowej / Bardzka (interacts with) Świeradowska / Krynicka","false","interacts with","al. Armii Krajowej / Bardzka (interacts with) Świeradowska / Krynicka"
"246.0","interacts with","al. Armii Krajowej / Bardzka (interacts with) al. Armii Krajowej / Tarnogajska","false","interacts with","al. Armii Krajowej / Bardzka (interacts with) al. Armii Krajowej / Tarnogajska"
"168.0","interacts with","al. Armii Krajowej / Tarnogajska (interacts with) Tarnogajska / Klimasa","false","interacts with","al. Armii Krajowej / Tarnogajska (interacts with) Tarnogajska / Klimasa"
"86.0","interacts with","Tarnogajska / Klimasa (interacts with) Gazowa / Międzyleska","false","interacts with","Tarnogajska / Klimasa (interacts with) Gazowa / Międzyleska"
"86.0","interacts with","Jagodzińska / Buforowa (interacts with) Buforowa - Vivaldiego","false","interacts with","Jagodzińska / Buforowa (interacts with) Buforowa - Vivaldiego"
